"enso_W","enso_N","enso_S","otter_W","otter_N","otter_S","harvest_W","harvest_N","harvest_S"
-0.13,-0.13,-0.13,0,0,0,32.3977272727273,32.3977272727273,32.3977272727273
-0.393333333333333,-0.393333333333333,-0.393333333333333,0,0,0,101.140909090909,101.140909090909,101.140909090909
-0.263333333333333,-0.263333333333333,-0.263333333333333,0,0,0,99.8136363636364,99.8136363636364,99.8136363636364
0.34,0.34,0.34,0,0,0,3.64454545454545,3.64454545454545,3.64454545454545
1.47666666666667,1.47666666666667,1.47666666666667,0,0,0,5.16818181818182,5.16818181818182,5.16818181818182
1.21666666666667,1.21666666666667,1.21666666666667,0,0,0,0,0,0
-0.55,-0.55,-0.55,0,0,0,0,0,0
-0.343333333333333,-0.343333333333333,-0.343333333333333,0,0,0,172.113636363636,172.113636363636,172.113636363636
-0.28,-0.28,-0.28,0,0,0,101.797727272727,101.797727272727,101.797727272727
-0.71,-0.71,-0.71,0,0,0,371.092727272727,371.092727272727,371.092727272727
-0.503333333333333,-0.503333333333333,-0.503333333333333,0,0,0,156.338636363636,156.338636363636,156.338636363636
-0.153333333333333,-0.153333333333333,-0.153333333333333,0,0,0,603.306818181818,603.306818181818,603.306818181818
0.686666666666667,0.686666666666667,0.686666666666667,0,0,0,418.537727272727,418.537727272727,418.537727272727
1.07,1.07,1.07,28,7,1,816.858636363636,816.858636363636,816.858636363636
1.62333333333333,1.62333333333333,1.62333333333333,28,7,1,624.391818181818,624.391818181818,624.391818181818
-0.226666666666667,-0.226666666666667,-0.226666666666667,27,6,2,1061.94409090909,1061.94409090909,1061.94409090909
-1.28333333333333,-1.28333333333333,-1.28333333333333,27,6,2,476.35,476.35,476.35
-0.85,-0.85,-0.85,36,8,2,89.8645454545454,89.8645454545454,89.8645454545454
-0.3,-0.3,-0.3,36,8,2,94.3345454545454,94.3345454545454,94.3345454545454
0.243333333333333,0.243333333333333,0.243333333333333,12,3,1,88.2522727272727,88.2522727272727,88.2522727272727
0.343333333333333,0.343333333333333,0.343333333333333,12,3,1,297.811818181818,297.811818181818,297.811818181818
0.39,0.39,0.39,12,3,0,911.252272727273,911.252272727273,911.252272727273
0.89,0.89,0.89,12,3,0,544.572272727273,544.572272727273,544.572272727273
1.35,1.35,1.35,10,2,1,524.601818181818,524.601818181818,524.601818181818
-0.0266666666666667,-0.0266666666666667,-0.0266666666666667,10,2,1,244.582727272727,244.582727272727,244.582727272727
0.746666666666667,0.746666666666667,0.746666666666667,10,2,1,261.118181818182,261.118181818182,261.118181818182
0.35,0.35,0.35,10,2,1,331.129545454545,331.129545454545,331.129545454545
0.416666666666667,0.416666666666667,0.416666666666667,12,3,1,289.095,289.095,289.095
0.693333333333333,0.693333333333333,0.693333333333333,12,3,1,363.826772727273,363.826772727273,363.826772727273
0.426666666666667,0.426666666666667,0.426666666666667,10,4,0,591.277772727273,591.277772727273,591.277772727273
-0.466666666666667,-0.466666666666667,-0.466666666666667,10,4,0,618.534318181818,618.534318181818,618.534318181818
-0.29,-0.29,-0.29,9,5,3,667.790090909091,667.790090909091,667.790090909091
-0.14,-0.14,-0.14,9,5,3,203.544809090909,203.544809090909,203.544809090909
0.353333333333333,0.353333333333333,0.353333333333333,13,1,0,276.469545454545,276.469545454545,276.469545454545
2.21,2.21,2.21,13,1,0,294.000909090909,294.000909090909,294.000909090909
1.03666666666667,1.03666666666667,1.03666666666667,13,1,0,302.720454545455,302.720454545455,302.720454545455
-1.02666666666667,-1.02666666666667,-1.02666666666667,13,1,0,190.225454545455,190.225454545455,190.225454545455
-0.776666666666667,-0.776666666666667,-0.776666666666667,18,1,2,291.668636363636,291.668636363636,291.668636363636
-0.966666666666667,-0.966666666666667,-0.966666666666667,18,1,2,269.955,269.955,269.955
-0.77,-0.77,-0.77,20,1,0,449.45,449.45,449.45
-0.403333333333333,-0.403333333333333,-0.403333333333333,20,1,0,61.9772727272727,61.9772727272727,61.9772727272727
-0.236666666666667,-0.236666666666667,-0.236666666666667,24,0,3,102.877272727273,102.877272727273,102.877272727273
0.0866666666666667,0.0866666666666667,0.0866666666666667,24,0,3,34.8886363636364,34.8886363636364,34.8886363636364
0.416666666666667,0.416666666666667,0.416666666666667,22,1,6,111.310454545455,111.310454545455,111.310454545455
1.09333333333333,1.09333333333333,1.09333333333333,22,1,6,55.1772727272727,55.1772727272727,55.1772727272727
0.11,0.11,0.11,20,0,13,83.4968181818182,83.4968181818182,83.4968181818182
0.553333333333333,0.553333333333333,0.553333333333333,20,0,13,85.7640909090909,85.7640909090909,85.7640909090909
0.21,0.21,0.21,30,0,2,92.3090909090909,92.3090909090909,92.3090909090909
0.896666666666667,0.896666666666667,0.896666666666667,30,0,2,13.0981818181818,13.0981818181818,13.0981818181818
0.426666666666667,0.426666666666667,0.426666666666667,29,0,2,102.692272727273,102.692272727273,102.692272727273
0.17,0.17,0.17,29,0,2,30.7945454545455,30.7945454545455,30.7945454545455
-0.143333333333333,-0.143333333333333,-0.143333333333333,31,1,5,63.7163636363636,63.7163636363636,63.7163636363636
0.646666666666667,0.646666666666667,0.646666666666667,31,1,5,162.901363636364,162.901363636364,162.901363636364
-0.103333333333333,-0.103333333333333,-0.103333333333333,34,0,3,74.3790909090909,74.3790909090909,74.3790909090909
-0.7,-0.7,-0.7,34,0,3,268.307727272727,268.307727272727,268.307727272727
-0.783333333333333,-0.783333333333333,-0.783333333333333,18,0,19,19.7804545454545,19.7804545454545,19.7804545454545
0.0266666666666667,0.0266666666666667,0.0266666666666667,18,0,19,54.4931818181818,54.4931818181818,54.4931818181818
-0.123333333333333,-0.123333333333333,-0.123333333333333,30,1,2,26.2990909090909,26.2990909090909,26.2990909090909
0.876666666666667,0.876666666666667,0.876666666666667,30,1,2,12.3436363636364,12.3436363636364,12.3436363636364
0.803333333333333,0.803333333333333,0.803333333333333,34,4,8,23.3754545454545,23.3754545454545,23.3754545454545
-1.26333333333333,-1.26333333333333,-1.26333333333333,34,4,8,60.1122727272727,60.1122727272727,60.1122727272727
-0.603333333333333,-0.603333333333333,-0.603333333333333,42,0,6,30.9536363636364,30.9536363636364,30.9536363636364
-0.613333333333333,-0.613333333333333,-0.613333333333333,42,0,6,22.3060454545455,22.3060454545455,22.3060454545455
